id,title,body,category,priority
302,Anomalai listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
303,Caloclo sbagliato,Ho notato che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
304,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Commerciale,Media
305,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Alta
306,Fattura da controllare,C'è un problema con la fattura del fornitroe Rossi.,Amministrazione,Media
307,F24,Scadenza F24 oggi. Urgente!,Commerciale,Alta
308,Fattura da controllare,C'è un problema con la fattura del fornitore Rossi.,Amministrazione,Bassa
309,Call,Domani alle 10 call con prospect.,Commerciale,Media
310,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
311,Fatture errate,Ci sono problemi con le fatture inviate dai fornitori questo mese.,Amministrazione,Media
312,Server guasti,"I server prinicpali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
313,Monitor spenti,Gli schermi delle nuove postazioni rimangono neri.,Tecnico,Media
314,Guasto portale,"Buongiorno, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
315,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
316,Errori IVA,Gli improti calcolati per le imposte contengono numerosi errori.,Amministrazione,Media
317,Errore di sistema,Il programma restituisce un errore durante il salvataggio.,Tecnico,Media
318,Rimborsi ritardo,Ci sono ritardi nei rimborsi delle trasferte di Roma e Milano.,Amministrazione,Media
319,Calcolo sbagliato,Ho notato che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
320,Password,Password scaduta. Reset urgente.,Tecnico,Alta
321,PC bloccato,"Il ocmputer non si accende, la siutazione è bloccante per il mio lavoro.",Tecnico,Alta
322,Strategia fiera,"In seguito all'evenot di irei, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
323,Stipnedio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
324,Virus,Malware rilevato. PC inutilizzabile.,Tecnico,Alta
325,Pagamento,Pagamento fornitore respinto.,Amministrazione,Bassa
326,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
327,Ritardo,Forte rtiardo consegna. Cliente furioso.,Commerciale,Media
328,Errore contratto,C'è un errore di battitura nella calusola 4 del contratto.,Commerciale,Media
329,Virus,Malware rilevato. PC inutilizzabile.,Tecnico,Media
330,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
331,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toenr sono difettosi.",Tecnico,Media
332,Call,Domani alle 10 call con prospect.,Commerciale,Bassa
333,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
334,Server offline,"Il server principale ha subito un guasot hardware, siamo offline.",Tecnico,Bassa
335,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
336,Problema legale,Vi scrivo urgentemente pecrhé il cliente ha minacciato vie legali.,Commerciale,Alta
337,Call,Domani alle 10 call con prospect.,Commerciale,Bassa
338,Call,Domani alle 10 call con prospect.,Commerciale,Media
339,Rimborsi ritardo,Ci sono ritardi nei rimborsi delle trasferte di Roma e Milano.,Amministrazione,Media
340,Fattura da controllare,C'è un problema con la fattura del fornitore Rossi.,Amministrazione,Media
341,Errori IVA,Gli importi calcolati per le imposte contengono numerosi errori.,Tecnico,Media
342,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Alta
343,Anomalia stampante,La stampante lsaer ha un'anmoalia nella stampa dei colori.,Tecnico,Media
344,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
345,Stipedni bloccati,"I bonifici degli stipendi sono stati respinti, situazione grave.",Amministrazione,Alta
346,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti ferm.i",Tecnico,Alta
347,Guasto portale,"Buongiorno, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
348,Anomalia listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
349,Errori di sistema,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
350,Password,Password scaduta. Reste urgente.,Tecnico,Alta
351,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi catlaoghi ai clienti storici.,Commerciale,Bassa
352,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
353,Prbolema legale,Vi scrivo urgentemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
354,Virus,Malware rilevato. PC inutliizzabile.,Tecnico,Alta
355,Fatture errate,Ci sono problemi con le fatture inviate dai forntiori questo msee.,Amministrazione,Media
356,Strategia fiera,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
357,Errore di sistema,Il programma restituisce un errore durante il salvataggio.,Tecnico,Media
358,Ordini bloccati,Le spedizinoi per i clienti VIP sono ferme in magazzino.,Commerciale,Alta
359,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
360,Strategia firea,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
361,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cilente americano.,Amministrazione,Bassa
362,Virus,Malware rilevato. PC inutilizzabile.,Tecnico,Media
363,Anomalia listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Amministrazione,Media
364,Anmoalia stampante,La satmpante laser ha un'naomalia nella satmpa dei colori.,Tecnico,Media
365,Errore contratto,C'è un errore di battitura nella lcausola 4 del contratto.,Tecnico,Media
366,Problema legale,Vi scrivo urgentemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
367,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti storici.,Commerciale,Bassa
368,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
369,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
370,Errore di sistema,Il programma restituisce un errore durante il salvaatggio.,Tecnico,Media
371,F24,Scadenza F24 oggi. Urgente!,Amministrazione,Alta
372,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
373,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toner sono difettosi.",Tecnico,Media
374,Spees,Allego note spese.,Amministrazione,Alta
375,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
376,Password,Password scaduta. eRset urgenet.,Tecnico,Alta
377,Call,Domani alle 10 call con prospect.,Commerciale,Bassa
378,Contratti scaduti,"I irnnovi dei contratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
379,Calcolo sbagliato,Ho notato che la trattenuta in butsa paga è sbagliata.,Amministrazione,Media
380,Sconto,Applicare sconto 10% subit.o,Commerciale,Bassa
381,Software in crash,"Salve, volevo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
382,Rimborsi ritardo,Ci sono ritardi nei rimborsi delle trasferte di Roma e Milano.,Amministrazione,Media
383,Preventivo sbagliato,"Abbiamo inviato un'offerta con un prezzo sbagliato, va corretat.",Commerciale,Media
384,Strateiga fiera,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
385,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toner sono difettosi.",Tecnico,Media
386,Urgenza monitor,"Lo scehrmo è nero, mi serev un intervetno urgenet.",Tecnico,Alta
387,Problema legale,Vi scrivo urgentemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
388,Software in crash,"Salve, volevo segnalare che il gestionlae crasha in continuazione.",Tecnico,Alta
389,Stipnedi bloccati,"I bonifici degli stipendi sono stati respinti, situazione grave.",Amministrazione,Alta
390,F24,Scadenza F24 ogig. Urgente!,Amministrazione,Alta
391,Monitor spenti,Gli schermi delle nuove postazioni rimangono neri.,Tecnico,Bassa
392,Server offline,"Il server principale ha subito un guasto hardware, siamo offline.",Tecnico,Alta
393,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
394,Preventivo sbagliato,"Abbiamo invaito un'offerta con un prezzo sbagliato, va corretta.",Commerciale,Media
395,Anomalia listino,Ho riscontarto un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
396,Password,Password scaduta. Reset urgente.,Tecnico,Alta
397,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Tecnico,Media
398,Contratti scaduti,"I rinnovi dei contratti sono scaduti, dobbiamo rciontattarli.",Commerciale,Alta
399,PC bloccati,"I computer dell'ufficio non si accendono, saimo tutti fermi.",Tecnico,Alta
400,Errore di sistema,Il programma restituisce un rerore durante il salvataggio.,Tecnico,Media
401,Spese,Allego note spese.,Amministrazione,Media
402,Guasto portale,"Buongiorno, vi comunico che il potrale pagamenti ha un guasto.",Amministrazione,Alta
403,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toner sono difettosi.",Tecnico,Media
404,Sconto,Applicare sconto 10% subit.o,Commerciale,Bassa
405,Errore IVA,L'importo caloclato per l'imposta contiene un errore.,Amministrazione,Media
406,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
407,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
408,aPgamento,Pagamenot fornitore respinto.,Amministrazione,Bassa
409,Servre offline,"Il srever principale ha subito un guasto hardware, siamo offline.",Tecnico,Alta
410,Stiepndi bloccati,"I bonifici degli stiepndi sono stati respinti, situazione grave.",Amministrazione,Alta
411,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
412,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
413,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
414,Password,Password scaduta. Reset urgente.,Amministrazione,Alta
415,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Alta
416,Pagamento,Pagamento fornitore respinto.,Amministrazione,Bassa
417,Viurs,Malware rilevato. PC inutilizzabile.,Tecnico,Bassa
418,Nuovi lead,Abbiamo ricevtuo ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
419,Passwrod,Password scaduta. Reset urgente.,Tecnico,Alta
420,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
